,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,SEMANA,UUID
825,AYACUCHO,LUCANAS,CABANA,050603,2021-07,9
826,AYACUCHO,LUCANAS,CARMEN SALCEDO,050604,2021-07,13
827,AYACUCHO,LUCANAS,CHAVIÑA,050605,2021-07,10
828,AYACUCHO,LUCANAS,CHAVIÑA,050605,2021-08,1
829,AYACUCHO,LUCANAS,CHIPAO,050606,2021-07,17
830,AYACUCHO,LUCANAS,CHIPAO,050606,2021-08,2
831,AYACUCHO,LUCANAS,HUAC-HUAS,050607,2021-07,15
832,AYACUCHO,LUCANAS,LARAMATE,050608,2021-07,25
833,AYACUCHO,LUCANAS,LARAMATE,050608,2021-08,2
834,AYACUCHO,LUCANAS,LARAMATE,050608,2021-09,3
835,AYACUCHO,LUCANAS,LEONCIO PRADO,050609,2021-07,9
836,AYACUCHO,LUCANAS,LLAUTA,050610,2021-07,9
837,AYACUCHO,LUCANAS,LUCANAS,050611,2021-07,24
838,AYACUCHO,LUCANAS,LUCANAS,050611,2021-09,1
839,AYACUCHO,LUCANAS,OCAÑA,050612,2021-07,19
840,AYACUCHO,LUCANAS,OTOCA,050613,2021-07,13
841,AYACUCHO,LUCANAS,OTOCA,050613,2021-08,2
842,AYACUCHO,LUCANAS,PUQUIO,050601,2021-06,202
843,AYACUCHO,LUCANAS,PUQUIO,050601,2021-07,62
844,AYACUCHO,LUCANAS,PUQUIO,050601,2021-08,1
845,AYACUCHO,LUCANAS,PUQUIO,050601,2021-09,245
846,AYACUCHO,LUCANAS,SAISA,050614,2021-07,1
847,AYACUCHO,LUCANAS,SAISA,050614,2021-09,1
848,AYACUCHO,LUCANAS,SAN CRISTOBAL,050615,2021-07,13
849,AYACUCHO,LUCANAS,SAN CRISTOBAL,050615,2021-08,1
850,AYACUCHO,LUCANAS,SAN JUAN,050616,2021-07,6
851,AYACUCHO,LUCANAS,SAN PEDRO,050617,2021-07,21
852,AYACUCHO,LUCANAS,SAN PEDRO,050617,2021-08,2
853,AYACUCHO,LUCANAS,SAN PEDRO DE PALCO,050618,2021-07,7
854,AYACUCHO,LUCANAS,SAN PEDRO DE PALCO,050618,2021-08,1
855,AYACUCHO,LUCANAS,SANCOS,050619,2021-07,29
856,AYACUCHO,LUCANAS,SANCOS,050619,2021-09,1
857,AYACUCHO,LUCANAS,SANTA ANA DE HUAYCAHUACHO,050620,2021-07,3
858,AYACUCHO,LUCANAS,SANTA LUCIA,050621,2021-07,14
859,AYACUCHO,LUCANAS,SANTA LUCIA,050621,2021-09,2
860,AYACUCHO,PARINACOCHAS,CHUMPI,050702,2021-07,11
861,AYACUCHO,PARINACOCHAS,CHUMPI,050702,2021-08,3
862,AYACUCHO,PARINACOCHAS,CORACORA,050701,2021-06,171
863,AYACUCHO,PARINACOCHAS,CORACORA,050701,2021-07,53
864,AYACUCHO,PARINACOCHAS,CORACORA,050701,2021-08,8
865,AYACUCHO,PARINACOCHAS,CORACORA,050701,2021-09,208
866,AYACUCHO,PARINACOCHAS,CORONEL CASTAÑEDA,050703,2021-07,5
